상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,i30(PD) 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001066.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001066.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001066.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001066.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,i30(GD) 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001059.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001059.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001059.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001059.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,i30(4-1호) 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/f4f4f4.jpg,http://proj.kr/china/uca/UCA-152/600_c/f4f4f4.jpg,http://proj.kr/china/uca/UCA-152/600_c/f4f4f4.jpg,http://proj.kr/china/uca/UCA-152/600_c/f4f4f4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,티뷰론 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001046.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001046.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001046.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001046.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,투스카니 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001008.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001008.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001008.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001008.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,엘란트라 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001004.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001004.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001004.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001004.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,엑센트위트 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001055.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001055.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001055.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001055.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,엑센트(신) 세단 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001003.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001003.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001003.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,아반떼MD 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001029.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001029.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001029.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001029.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,아반떼HD(~09) 자동차 실버 바디커버 미세먼지 황사 차단,,,,,,,"<center><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg""></center>",,"<img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_01.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_02.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_03.jpg""><img src=""//proj.kr/china/uca/UCA-152/UCA-152_900_04.jpg"">",,,,37800,,68040.0,,,,,,,,,N,Y,T,S,,옵션{단일옵션},,,,,,,,,,http://proj.kr/china/uca/UCA-152/600_c/012001028.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001028.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001028.jpg,http://proj.kr/china/uca/UCA-152/600_c/012001028.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
